A PROGRAMME FOR EVERY STAGE	UN PROGRAMME À CHAQUE ÉTAPE	EIN PROGRAMM FÜR JEDE PHASE	ETT PROGRAM FÖR VARJE STEG	EEN PROGRAMMA VOOR ELKE FASE	E PROGRAMM FIR ALL ETAPP
Four stages.	Quatre étapes.	Vier Phasen.	Fyra steg.	Vier fasen.	Véier Etappen.
One philosophy.	Une même philosophie.	Eine Philosophie.	En filosofi.	Eén filosofie.	Eng Philosophie.
Time, patience and a programme shaped around the individual horse.	Du temps, de la patience et un programme adapté à chaque cheval.	Zeit, Geduld und ein auf das einzelne Pferd abgestimmtes Programm.	Tid, tålamod och ett program anpassat till varje häst.	Tijd, geduld en een programma op maat van elk paard.	Zäit, Gedold an e Programm, deen op all eenzelt Päerd ofgestëmmt ass.
Our approach on Instagram ↗	Notre approche sur Instagram ↗	Unser Ansatz auf Instagram ↗	Vårt arbetssätt på Instagram ↗	Onze aanpak op Instagram ↗	Eis Approche op Instagram ↗
Foal handling	Manipulation du poulain	Fohlenhandling	Fölhantering	Veulenhantering	Ëmgang mat Fëllen
Gentle first contact, confident handling and positive habits for everyday care. Building trust from the beginning.	Des premiers contacts en douceur, des manipulations rassurantes et de bonnes habitudes pour les soins quotidiens. Construire la confiance dès le départ.	Sanfter Erstkontakt, sicheres Handling und positive Gewohnheiten für die tägliche Pflege. Vertrauen von Anfang an aufbauen.	Varsam första kontakt, trygg hantering och goda vanor för daglig skötsel. Att bygga tillit från början.	Een zacht eerste contact, vertrouwde omgang en positieve gewoontes voor de dagelijkse verzorging. Vertrouwen opbouwen vanaf het begin.	E sanften éischte Kontakt, sécheren Ëmgang a positiv Gewunnechte fir déi deeglech Betreiung. Vertrauen vun Ufank un opbauen.
Pre-breaking	Pré-débourrage	Vorbereitung auf das Anreiten	Förberedelse för inridning	Voorbereiding op het zadelmak maken	Virbereedung op d’Ureiden
Preparing the young horse for its future under saddle, step by step. Nothing rushed; each stage follows the horse’s readiness.	Préparer progressivement le jeune cheval à sa vie sous la selle. Sans précipitation : chaque étape respecte ce qu’il est prêt à apprendre.	Das junge Pferd Schritt für Schritt auf seine Zukunft unter dem Sattel vorbereiten. Ohne Eile: Jede Phase richtet sich nach seiner Bereitschaft.	Att stegvis förbereda unghästen för framtiden under sadel. Utan att skynda: varje steg följer hästens beredskap.	Het jonge paard stap voor stap voorbereiden op zijn toekomst onder het zadel. Zonder haast: elke fase sluit aan bij waar het paard aan toe is.	Dat jonkt Päerd Schrëtt fir Schrëtt op seng Zukunft ënner dem Suedel virbereeden. Ouni Hetz: all Etapp passt sech deem un, wat d’Päerd bereet ass ze léieren.
Breaking in	Débourrage	Anreiten	Inridning	Zadelmak maken	Ureiden
From the first mounting to calm, balanced ridden work. The pace is adapted to age, maturity and temperament.	De la première mise en selle à un travail monté calme et équilibré. Le rythme est adapté à l’âge, à la maturité et au tempérament.	Vom ersten Aufsitzen bis zur ruhigen, ausbalancierten Arbeit unter dem Reiter. Das Tempo wird an Alter, Reife und Temperament angepasst.	Från första uppsittningen till lugnt och balanserat arbete under ryttare. Tempot anpassas efter ålder, mognad och temperament.	Van de eerste keer opstijgen tot rustig, evenwichtig werk onder de ruiter. Het tempo wordt aangepast aan leeftijd, rijpheid en temperament.	Vum éischten Opsëtze bis zur roueger, ausgeglachener Aarbecht ënner dem Reider. Den Tempo gëtt un Alter, Reift an Temperament ugepasst.
Show jumping training	Travail à l’obstacle	Springausbildung	Hoppträning	Springtraining	Ausbildung am Sprangreiden
Individual work towards development, performance and competition preparation, with regular progress reviews and close communication with the owner.	Un travail personnalisé pour développer le potentiel et préparer les concours, avec un suivi régulier des progrès et un échange étroit avec le propriétaire.	Individuelle Arbeit für Entwicklung, Leistung und Turniervorbereitung, mit regelmäßiger Fortschrittskontrolle und engem Austausch mit dem Besitzer.	Individuellt arbete för utveckling, prestation och tävlingsförberedelse, med regelbunden uppföljning och nära kontakt med ägaren.	Individueel werk gericht op ontwikkeling, prestaties en wedstrijdvoorbereiding, met regelmatige evaluaties en nauw contact met de eigenaar.	Individuell Aarbecht fir Entwécklung, Leeschtung a Concoursvirbereedung, mat reegelméisseger Kontroll vum Fortschrëtt an enkem Kontakt mam Besëtzer.
NOTES FROM PRÉPINSON	CARNET DE PRÉPINSON	NOTIZEN AUS PRÉPINSON	ANTECKNINGAR FRÅN PRÉPINSON	BERICHTEN VAN PRÉPINSON	NOTIZEN AUS PRÉPINSON
The life behind	La vie derrière	Das Leben hinter	Livet bakom	Het leven achter	D’Liewen hannert
 the horses.	 les chevaux.	 den Pferden.	 hästarna.	 de paarden.	 de Päerd.
A closer look at our work, through stories shared on Instagram.	Un regard sur notre travail, à travers les histoires partagées sur Instagram.	Ein Einblick in unsere Arbeit durch Geschichten auf Instagram.	En närmare titt på vårt arbete genom berättelser på Instagram.	Een blik op ons werk, via verhalen die we op Instagram delen.	En Abléck an eis Aarbecht duerch Geschichten, déi mir op Instagram deelen.
TRAINING	FORMATION	AUSBILDUNG	UTBILDNING	TRAINING	AUSBILDUNG
Learning at their own pace.	Apprendre à leur rythme.	Lernen im eigenen Tempo.	Lära i sin egen takt.	Leren op hun eigen tempo.	Am eegenen Tempo léieren.
From first handling to the competition arena: four programmes, one commitment to the individual horse.	Des premières manipulations aux terrains de concours : quatre programmes, une même attention portée à chaque cheval.	Vom ersten Handling bis zum Turnier: vier Programme, eine gemeinsame Verpflichtung gegenüber jedem Pferd.	Från den första hanteringen till tävlingsbanan: fyra program med samma engagemang för varje häst.	Van de eerste omgang tot de wedstrijdring: vier programma’s met dezelfde aandacht voor elk paard.	Vum éischten Ëmgang bis bei de Concours: véier Programmer, mat der selwechter Opmierksamkeet fir all Päerd.
Read on Instagram ↗	Lire sur Instagram ↗	Auf Instagram lesen ↗	Läs på Instagram ↗	Lees op Instagram ↗	Op Instagram liesen ↗
BREEDING	ÉLEVAGE	ZUCHT	AVEL	FOKKERIJ	ZUUCHT
From foaling to the future.	Des naissances à l’avenir.	Vom Fohlen zur Zukunft.	Från fölning till framtid.	Van geboorte naar de toekomst.	Vum Fëllen an d’Zukunft.
